latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.333918,-9.60141,28.0,0,GMT,GMT

time,precipitation_sum (mm),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_0_to_100cm_mean (m³/m³)
1990-01-01,0.00,1.51,15.5,0.302,0.293
1990-01-02,0.00,1.95,15.2,0.290,0.291
1990-01-03,8.90,1.40,14.6,0.319,0.293
1990-01-04,0.00,2.24,14.1,0.306,0.293
1990-01-05,0.00,1.85,14.2,0.288,0.291
1990-01-06,0.00,1.78,14.3,0.277,0.289
1990-01-07,0.00,1.52,13.6,0.271,0.286
1990-01-08,0.00,1.41,13.9,0.265,0.285
1990-01-09,0.00,1.89,14.0,0.258,0.283
1990-01-10,0.00,1.82,13.7,0.248,0.281
1990-01-11,0.00,1.92,13.1,0.240,0.278
1990-01-12,0.00,1.83,12.4,0.232,0.276
1990-01-13,0.00,1.94,12.2,0.224,0.274
1990-01-14,0.00,1.79,12.5,0.216,0.272
1990-01-15,0.00,2.23,13.3,0.208,0.270
1990-01-16,0.20,2.40,13.7,0.199,0.268
1990-01-17,0.00,2.40,14.1,0.186,0.266
1990-01-18,0.00,2.13,12.6,0.177,0.264
1990-01-19,0.40,1.74,13.0,0.173,0.262
1990-01-20,0.00,1.87,13.7,0.170,0.260
1990-01-21,0.00,2.36,13.1,0.163,0.259
1990-01-22,0.00,2.35,12.6,0.155,0.257
1990-01-23,0.00,2.39,12.7,0.147,0.255
1990-01-24,0.00,2.46,13.3,0.139,0.253
1990-01-25,0.00,2.53,13.7,0.132,0.251
1990-01-26,0.00,2.50,14.2,0.125,0.250
1990-01-27,0.00,1.78,13.9,0.120,0.248
1990-01-28,5.40,1.72,13.7,0.162,0.250
1990-01-29,0.00,1.51,12.3,0.192,0.252
1990-01-30,0.00,2.08,13.2,0.179,0.250
1990-01-31,0.00,2.05,13.7,0.166,0.248
1990-02-01,0.00,2.06,14.3,0.155,0.247
1990-02-02,0.00,2.42,14.7,0.144,0.245
1990-02-03,0.00,2.41,16.3,0.133,0.244
1990-02-04,0.00,2.91,17.3,0.121,0.242
1990-02-05,0.00,3.66,18.2,0.105,0.240
1990-02-06,0.00,3.39,18.4,0.091,0.237
1990-02-07,0.00,3.46,18.7,0.080,0.236
1990-02-08,0.00,3.05,17.5,0.073,0.234
1990-02-09,0.00,3.10,18.2,0.069,0.233
1990-02-10,0.00,3.08,17.4,0.066,0.231
1990-02-11,0.00,2.81,16.5,0.065,0.230
1990-02-12,0.00,2.74,16.4,0.064,0.229
1990-02-13,0.00,2.87,16.6,0.063,0.228
1990-02-14,0.00,3.07,16.5,0.062,0.227
1990-02-15,0.00,3.05,16.0,0.061,0.227
1990-02-16,0.00,2.57,14.8,0.061,0.226
1990-02-17,0.00,2.86,15.2,0.060,0.225
1990-02-18,0.00,3.34,17.1,0.058,0.224
1990-02-19,0.00,3.08,18.8,0.056,0.223
1990-02-20,0.00,4.24,19.1,0.054,0.222
1990-02-21,0.00,4.45,19.4,0.051,0.221
1990-02-22,0.00,6.64,23.0,0.050,0.220
1990-02-23,0.00,5.25,20.8,0.048,0.219
1990-02-24,0.00,4.49,18.1,0.049,0.218
1990-02-25,0.00,3.55,16.6,0.049,0.217
1990-02-26,0.00,3.54,16.9,0.050,0.217
1990-02-27,0.00,3.96,17.5,0.050,0.216
1990-02-28,0.00,3.88,17.7,0.050,0.215
1990-03-01,0.00,3.62,17.1,0.050,0.214
1990-03-02,0.00,3.26,16.1,0.050,0.214
1990-03-03,0.00,2.51,15.3,0.052,0.214
1990-03-04,0.00,2.63,15.0,0.054,0.213
1990-03-05,0.00,3.35,14.9,0.053,0.212
1990-03-06,0.00,3.47,15.8,0.052,0.212
1990-03-07,0.50,2.13,15.5,0.053,0.211
1990-03-08,17.80,1.21,16.6,0.145,0.217
1990-03-09,5.10,1.79,16.6,0.267,0.227
1990-03-10,1.30,3.19,16.4,0.248,0.227
1990-03-11,0.00,3.67,17.5,0.222,0.226
1990-03-12,0.00,3.85,17.8,0.188,0.223
1990-03-13,0.00,3.70,17.0,0.157,0.220
1990-03-14,0.00,3.97,18.7,0.131,0.218
1990-03-15,0.00,4.15,18.2,0.107,0.216
1990-03-16,0.00,4.49,18.8,0.086,0.214
1990-03-17,0.00,4.87,19.6,0.069,0.211
1990-03-18,0.00,5.40,22.3,0.058,0.210
1990-03-19,0.00,5.56,23.1,0.052,0.209
1990-03-20,0.00,5.35,22.7,0.050,0.208
1990-03-21,0.00,5.41,22.1,0.048,0.207
1990-03-22,0.00,5.80,22.5,0.048,0.206
1990-03-23,0.00,5.60,22.2,0.047,0.205
1990-03-24,0.00,4.86,21.0,0.047,0.205
1990-03-25,0.00,4.02,19.1,0.048,0.204
1990-03-26,0.00,4.00,17.7,0.048,0.204
1990-03-27,0.00,3.94,18.0,0.049,0.203
1990-03-28,0.00,4.26,18.5,0.049,0.202
1990-03-29,0.00,2.67,17.6,0.050,0.202
1990-03-30,1.40,4.32,20.3,0.060,0.202
1990-03-31,8.00,3.64,18.8,0.097,0.204
1990-04-01,0.50,3.40,17.7,0.107,0.205
1990-04-02,0.00,3.80,16.6,0.091,0.203
1990-04-03,0.00,3.66,16.4,0.075,0.202
1990-04-04,0.00,3.58,16.6,0.065,0.200
1990-04-05,7.80,3.62,17.3,0.073,0.201
1990-04-06,3.90,2.93,16.6,0.164,0.207
1990-04-07,7.80,3.15,16.4,0.158,0.206
1990-04-08,20.60,1.94,15.2,0.296,0.218
1990-04-09,1.20,3.20,15.3,0.275,0.221
1990-04-10,0.00,3.63,15.5,0.226,0.218
1990-04-11,0.00,3.82,15.5,0.186,0.215
1990-04-12,0.00,4.35,17.2,0.153,0.212
1990-04-13,0.00,4.51,18.3,0.125,0.209
1990-04-14,0.00,4.14,18.3,0.102,0.207
1990-04-15,0.00,5.26,20.2,0.081,0.205
1990-04-16,0.00,5.23,20.4,0.065,0.203
1990-04-17,0.00,5.00,20.3,0.057,0.201
1990-04-18,0.00,5.08,20.4,0.053,0.200
1990-04-19,0.00,4.97,20.1,0.051,0.199
1990-04-20,0.00,4.61,18.5,0.050,0.199
1990-04-21,0.00,4.34,17.7,0.051,0.198
1990-04-22,0.00,4.23,17.5,0.051,0.197
1990-04-23,0.00,4.73,17.1,0.050,0.197
1990-04-24,0.00,5.46,17.4,0.049,0.196
1990-04-25,0.00,4.69,17.0,0.049,0.195
1990-04-26,0.00,4.42,17.6,0.048,0.195
1990-04-27,3.60,3.12,16.3,0.070,0.196
1990-04-28,7.30,3.61,15.8,0.129,0.200
1990-04-29,7.10,3.08,15.9,0.203,0.205
1990-04-30,0.00,3.76,16.4,0.198,0.204
1990-05-01,0.20,3.96,17.2,0.164,0.202
1990-05-02,0.00,4.08,17.4,0.134,0.200
1990-05-03,0.00,4.13,17.9,0.108,0.197
1990-05-04,0.00,4.06,18.1,0.086,0.195
1990-05-05,0.00,3.36,17.8,0.073,0.194
1990-05-06,0.00,3.62,17.7,0.065,0.193
1990-05-07,0.00,4.35,17.9,0.059,0.192
1990-05-08,0.00,3.84,17.7,0.056,0.192
1990-05-09,0.30,3.62,17.6,0.055,0.191
1990-05-10,0.60,3.89,18.2,0.073,0.192
1990-05-11,0.00,4.08,19.2,0.068,0.191
1990-05-12,0.40,4.00,18.8,0.060,0.191
1990-05-13,0.00,4.82,19.1,0.054,0.189
1990-05-14,0.00,4.14,19.2,0.051,0.189
1990-05-15,0.00,4.40,19.2,0.049,0.189
1990-05-16,0.30,3.23,18.8,0.051,0.188
1990-05-17,0.00,4.49,18.9,0.051,0.188
1990-05-18,0.00,4.42,19.5,0.049,0.188
1990-05-19,0.00,4.03,19.4,0.049,0.187
1990-05-20,0.00,4.91,19.7,0.048,0.187
1990-05-21,0.00,4.42,19.1,0.047,0.186
1990-05-22,0.00,4.70,19.5,0.047,0.186
1990-05-23,0.00,5.14,20.2,0.047,0.185
1990-05-24,0.00,5.13,20.0,0.046,0.185
1990-05-25,0.00,5.27,20.6,0.046,0.185
1990-05-26,0.00,5.40,21.1,0.046,0.184
1990-05-27,0.00,5.11,20.6,0.046,0.184
1990-05-28,0.00,5.10,20.8,0.046,0.183
1990-05-29,0.00,5.23,22.0,0.046,0.183
1990-05-30,0.00,7.99,29.0,0.045,0.183
1990-05-31,0.00,6.59,24.3,0.045,0.182
1990-06-01,0.00,4.85,20.5,0.045,0.182
1990-06-02,0.00,4.19,19.1,0.046,0.182
1990-06-03,0.00,4.86,19.1,0.047,0.181
1990-06-04,0.70,3.72,18.7,0.056,0.182
1990-06-05,0.10,4.57,20.2,0.054,0.182
1990-06-06,0.00,5.34,21.2,0.049,0.181
1990-06-07,0.00,5.18,20.8,0.047,0.180
1990-06-08,0.00,4.92,20.9,0.046,0.180
1990-06-09,0.00,5.06,21.4,0.046,0.180
1990-06-10,0.00,4.64,20.4,0.046,0.179
1990-06-11,0.00,4.40,19.8,0.046,0.179
1990-06-12,0.00,4.37,19.5,0.046,0.179
1990-06-13,0.00,4.98,20.0,0.046,0.179
1990-06-14,0.00,4.93,20.7,0.046,0.178
1990-06-15,0.00,4.69,20.8,0.046,0.178
1990-06-16,0.00,5.22,20.9,0.046,0.178
1990-06-17,0.00,5.00,20.2,0.045,0.177
1990-06-18,0.00,5.15,20.6,0.045,0.177
1990-06-19,0.00,4.88,20.5,0.045,0.177
1990-06-20,0.00,4.79,20.7,0.045,0.177
1990-06-21,0.00,4.65,20.8,0.046,0.176
1990-06-22,0.00,4.61,20.8,0.046,0.176
1990-06-23,0.00,4.60,20.8,0.046,0.176
1990-06-24,0.00,4.38,20.8,0.046,0.176
1990-06-25,0.00,5.47,21.9,0.046,0.175
1990-06-26,0.00,5.58,22.6,0.045,0.175
1990-06-27,0.00,5.60,22.9,0.046,0.175
1990-06-28,0.00,5.08,21.8,0.045,0.175
1990-06-29,0.00,5.40,22.1,0.045,0.175
1990-06-30,0.00,5.47,22.9,0.045,0.175
1990-07-01,0.00,5.41,22.7,0.045,0.174
1990-07-02,0.00,5.57,23.2,0.045,0.174
1990-07-03,0.00,6.11,25.9,0.045,0.174
1990-07-04,0.00,6.60,29.2,0.045,0.173
1990-07-05,0.10,6.69,30.0,0.045,0.173
1990-07-06,0.00,6.63,28.1,0.045,0.173
1990-07-07,0.00,6.15,25.6,0.045,0.172
1990-07-08,0.00,5.27,22.4,0.045,0.172
1990-07-09,0.00,4.50,21.7,0.047,0.172
1990-07-10,0.00,5.02,22.2,0.046,0.172
1990-07-11,0.00,5.50,23.6,0.045,0.172
1990-07-12,0.00,5.51,23.5,0.045,0.171
1990-07-13,0.00,5.45,22.9,0.045,0.171
1990-07-14,0.00,5.61,23.1,0.045,0.171
1990-07-15,0.00,5.50,22.8,0.045,0.171
1990-07-16,0.00,5.29,22.3,0.045,0.170
1990-07-17,0.00,4.67,21.5,0.045,0.170
1990-07-18,0.00,4.66,21.1,0.046,0.170
1990-07-19,0.00,4.60,21.1,0.046,0.170
1990-07-20,0.00,4.90,23.1,0.045,0.170
1990-07-21,0.00,5.13,26.7,0.045,0.169
1990-07-22,0.00,4.95,23.7,0.046,0.169
1990-07-23,0.00,5.28,25.0,0.046,0.169
1990-07-24,0.00,5.50,26.6,0.045,0.169
1990-07-25,0.00,5.08,26.5,0.045,0.168
1990-07-26,0.00,5.89,26.3,0.045,0.168
1990-07-27,0.00,5.25,23.7,0.045,0.168
1990-07-28,0.00,5.35,23.9,0.045,0.168
1990-07-29,0.00,5.11,23.1,0.045,0.168
1990-07-30,0.00,4.97,23.2,0.045,0.168
1990-07-31,0.00,5.19,24.0,0.045,0.167
1990-08-01,0.00,5.55,25.6,0.045,0.167
