latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,-4.950012,413.0,0,GMT,GMT

time,precipitation_sum (mm),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_0_to_100cm_mean (m³/m³)
1990-01-01,0.50,1.41,10.2,0.486,0.447
1990-01-02,0.00,1.76,11.4,0.476,0.446
1990-01-03,24.10,0.54,9.1,0.475,0.454
1990-01-04,7.10,1.16,8.4,0.497,0.466
1990-01-05,0.00,1.51,8.0,0.483,0.466
1990-01-06,0.00,1.65,7.8,0.472,0.464
1990-01-07,0.00,1.49,8.0,0.466,0.462
1990-01-08,0.00,1.67,8.1,0.461,0.460
1990-01-09,0.00,1.79,9.0,0.455,0.458
1990-01-10,0.00,1.68,8.5,0.450,0.456
1990-01-11,2.50,1.28,7.0,0.457,0.455
1990-01-12,0.00,1.59,7.3,0.464,0.455
1990-01-13,0.00,1.60,7.7,0.455,0.454
1990-01-14,0.00,1.43,7.5,0.450,0.452
1990-01-15,0.00,1.40,8.2,0.448,0.451
1990-01-16,0.00,1.80,8.4,0.444,0.449
1990-01-17,3.20,1.61,7.9,0.446,0.448
1990-01-18,4.60,1.17,7.0,0.475,0.450
1990-01-19,0.10,1.42,7.9,0.474,0.451
1990-01-20,0.00,1.84,7.0,0.460,0.450
1990-01-21,0.00,1.92,6.8,0.450,0.448
1990-01-22,0.00,1.91,7.0,0.443,0.446
1990-01-23,0.00,1.94,6.7,0.437,0.444
1990-01-24,0.00,1.84,7.0,0.433,0.442
1990-01-25,0.00,1.49,9.9,0.429,0.441
1990-01-26,0.00,1.87,10.3,0.426,0.440
1990-01-27,0.00,1.97,10.4,0.422,0.438
1990-01-28,10.60,0.56,8.2,0.462,0.441
1990-01-29,0.60,1.72,7.9,0.475,0.445
1990-01-30,0.00,1.56,8.3,0.459,0.444
1990-01-31,0.50,2.21,11.2,0.450,0.442
1990-02-01,4.30,1.12,11.3,0.472,0.444
1990-02-02,0.00,2.17,11.5,0.463,0.443
1990-02-03,0.00,2.27,11.8,0.451,0.441
1990-02-04,0.00,2.41,13.7,0.442,0.439
1990-02-05,0.00,2.32,13.5,0.435,0.437
1990-02-06,0.00,2.21,13.4,0.429,0.435
1990-02-07,0.00,2.48,13.7,0.422,0.433
1990-02-08,0.00,2.56,13.1,0.416,0.431
1990-02-09,0.00,2.74,13.7,0.409,0.429
1990-02-10,0.00,2.62,13.3,0.403,0.426
1990-02-11,0.00,1.93,12.6,0.400,0.425
1990-02-12,0.00,2.13,10.4,0.396,0.423
1990-02-13,0.00,1.71,9.4,0.392,0.421
1990-02-14,0.00,2.71,11.2,0.388,0.420
1990-02-15,0.00,2.80,12.1,0.382,0.417
1990-02-16,0.00,2.68,13.1,0.377,0.415
1990-02-17,0.00,2.69,12.9,0.371,0.414
1990-02-18,0.00,2.80,13.8,0.366,0.412
1990-02-19,0.00,2.79,14.0,0.360,0.409
1990-02-20,0.00,3.13,15.0,0.354,0.407
1990-02-21,0.00,3.46,14.8,0.348,0.405
1990-02-22,0.00,3.74,14.6,0.341,0.402
1990-02-23,0.00,3.69,14.1,0.334,0.400
1990-02-24,0.00,3.52,13.8,0.327,0.397
