latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.599297,-7.976074,460.0,0,GMT,GMT

time,precipitation_sum (mm),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_0_to_100cm_mean (m³/m³)
1990-01-01,0.00,1.81,11.0,0.294,0.185
1990-01-02,0.00,1.92,10.1,0.278,0.184
1990-01-03,15.50,0.55,9.1,0.336,0.189
1990-01-04,0.30,1.58,7.0,0.359,0.198
1990-01-05,0.00,1.93,8.2,0.325,0.197
1990-01-06,0.00,1.80,8.2,0.308,0.196
1990-01-07,0.00,1.53,9.1,0.297,0.195
1990-01-08,0.00,1.45,9.7,0.289,0.194
1990-01-09,0.00,1.70,10.1,0.282,0.194
1990-01-10,0.00,1.74,9.8,0.275,0.192
1990-01-11,0.00,1.79,8.2,0.268,0.192
1990-01-12,0.00,1.74,7.1,0.261,0.191
1990-01-13,0.00,1.57,8.0,0.256,0.190
1990-01-14,0.00,1.80,6.8,0.251,0.189
1990-01-15,0.00,1.87,7.1,0.244,0.188
1990-01-16,0.00,1.93,7.6,0.240,0.187
1990-01-17,0.80,1.39,8.6,0.240,0.187
1990-01-18,0.00,1.88,8.7,0.237,0.186
1990-01-19,0.00,1.65,8.3,0.234,0.186
1990-01-20,0.00,2.25,7.7,0.229,0.185
1990-01-21,0.00,2.27,6.4,0.222,0.184
1990-01-22,0.00,2.40,6.1,0.216,0.183
1990-01-23,0.00,2.67,7.1,0.210,0.181
1990-01-24,0.00,2.70,7.7,0.203,0.180
1990-01-25,0.00,2.72,9.3,0.197,0.179
1990-01-26,0.00,2.49,9.7,0.191,0.178
1990-01-27,0.00,2.33,10.5,0.187,0.177
1990-01-28,8.50,1.00,8.2,0.223,0.179
1990-01-29,0.00,1.88,6.8,0.289,0.184
1990-01-30,0.00,1.86,9.4,0.273,0.184
1990-01-31,0.00,2.31,9.9,0.260,0.183
1990-02-01,0.00,2.18,10.4,0.248,0.182
1990-02-02,0.00,2.48,11.1,0.237,0.181
1990-02-03,0.00,2.86,12.9,0.226,0.180
1990-02-04,0.00,2.34,13.3,0.216,0.179
1990-02-05,0.00,2.98,13.5,0.207,0.178
1990-02-06,0.00,2.91,14.0,0.197,0.176
1990-02-07,0.00,2.89,14.3,0.188,0.175
1990-02-08,0.00,3.48,14.1,0.180,0.173
1990-02-09,0.00,3.19,15.0,0.173,0.172
1990-02-10,0.00,3.59,15.4,0.166,0.171
1990-02-11,0.00,3.08,14.1,0.161,0.170
1990-02-12,0.00,3.56,13.6,0.157,0.169
1990-02-13,0.00,4.01,12.9,0.153,0.168
1990-02-14,0.00,3.40,14.1,0.149,0.168
1990-02-15,0.00,3.34,14.4,0.145,0.167
1990-02-16,0.00,3.28,14.0,0.142,0.166
1990-02-17,0.00,3.40,13.7,0.140,0.165
1990-02-18,0.00,3.22,14.0,0.137,0.164
1990-02-19,0.00,2.93,14.9,0.135,0.164
1990-02-20,0.00,3.61,15.9,0.133,0.163
1990-02-21,0.00,3.91,15.9,0.131,0.163
1990-02-22,0.00,3.96,16.7,0.129,0.162
1990-02-23,0.00,3.91,16.8,0.128,0.161
1990-02-24,0.00,4.35,15.4,0.126,0.160
1990-02-25,0.00,3.72,14.0,0.126,0.160
1990-02-26,0.00,3.72,14.8,0.125,0.160
1990-02-27,0.00,3.93,14.9,0.125,0.159
1990-02-28,0.00,3.77,15.7,0.125,0.159
1990-03-01,0.00,3.96,15.0,0.124,0.159
1990-03-02,0.00,1.89,12.8,0.125,0.159
1990-03-03,0.10,2.89,12.7,0.126,0.158
1990-03-04,0.00,2.24,12.6,0.127,0.158
1990-03-05,0.00,2.52,13.1,0.132,0.158
1990-03-06,0.00,3.71,14.5,0.132,0.158
1990-03-07,0.50,2.21,14.8,0.134,0.158
1990-03-08,24.90,0.74,13.3,0.265,0.168
1990-03-09,13.90,0.78,12.9,0.391,0.188
1990-03-10,2.90,2.14,13.9,0.349,0.194
1990-03-11,0.00,3.49,14.8,0.320,0.194
1990-03-12,0.00,3.51,15.0,0.293,0.192
1990-03-13,0.00,3.83,14.4,0.272,0.190
1990-03-14,0.00,4.08,15.0,0.252,0.187
1990-03-15,0.00,4.41,15.4,0.234,0.185
1990-03-16,0.00,4.38,16.0,0.218,0.183
1990-03-17,0.00,4.32,16.8,0.203,0.181
1990-03-18,0.00,4.60,18.2,0.190,0.178
1990-03-19,0.00,4.15,17.8,0.179,0.176
1990-03-20,0.00,3.60,17.8,0.170,0.174
1990-03-21,0.00,4.52,18.5,0.163,0.172
1990-03-22,0.00,4.27,19.1,0.156,0.170
1990-03-23,0.00,4.88,19.3,0.150,0.169
1990-03-24,0.00,5.10,17.6,0.145,0.168
1990-03-25,0.00,4.69,16.2,0.141,0.167
1990-03-26,0.00,4.51,16.7,0.138,0.166
1990-03-27,0.00,4.55,17.3,0.135,0.165
1990-03-28,0.00,5.02,16.9,0.133,0.164
1990-03-29,0.00,3.88,16.0,0.131,0.163
1990-03-30,3.10,3.09,16.9,0.141,0.163
1990-03-31,2.60,4.59,17.5,0.147,0.163
1990-04-01,0.30,3.91,16.0,0.148,0.163
1990-04-02,0.00,4.81,16.6,0.146,0.162
1990-04-03,0.00,4.52,15.4,0.141,0.161
1990-04-04,0.00,4.56,15.6,0.137,0.161
1990-04-05,3.90,4.06,16.4,0.138,0.161
1990-04-06,5.30,2.52,13.9,0.260,0.169
1990-04-07,0.00,4.18,14.8,0.253,0.169
1990-04-08,2.60,2.97,13.2,0.245,0.168
1990-04-09,1.60,3.26,12.1,0.241,0.168
1990-04-10,3.90,2.94,11.1,0.242,0.168
1990-04-11,0.00,4.36,12.0,0.259,0.170
1990-04-12,0.00,4.64,14.7,0.232,0.168
1990-04-13,0.40,4.76,14.8,0.212,0.167
1990-04-14,2.60,3.46,14.1,0.243,0.169
1990-04-15,0.00,5.23,15.9,0.228,0.168
1990-04-16,0.00,5.77,17.2,0.205,0.166
1990-04-17,0.00,5.81,18.2,0.185,0.164
1990-04-18,0.00,6.01,18.4,0.170,0.162
1990-04-19,0.00,5.76,19.4,0.158,0.161
1990-04-20,0.00,5.95,18.7,0.149,0.160
1990-04-21,0.00,5.00,15.4,0.143,0.159
1990-04-22,1.60,4.09,14.3,0.155,0.160
1990-04-23,0.00,4.31,13.4,0.156,0.159
1990-04-24,0.00,4.17,13.0,0.153,0.159
1990-04-25,0.00,4.85,13.8,0.149,0.159
1990-04-26,0.80,4.00,14.4,0.148,0.158
1990-04-27,3.00,3.83,14.3,0.158,0.159
1990-04-28,7.70,4.04,14.4,0.200,0.161
1990-04-29,4.20,3.60,14.0,0.207,0.162
1990-04-30,1.00,3.69,14.5,0.226,0.163
1990-05-01,0.00,4.16,16.5,0.208,0.162
1990-05-02,0.00,4.65,17.6,0.191,0.161
1990-05-03,1.40,5.13,19.3,0.179,0.160
1990-05-04,2.40,4.94,19.3,0.176,0.159
1990-05-05,0.00,5.03,19.2,0.175,0.159
1990-05-06,0.00,3.67,17.9,0.165,0.158
1990-05-07,0.30,4.55,19.0,0.159,0.158
1990-05-08,0.00,2.73,17.3,0.156,0.157
1990-05-09,9.10,2.15,15.3,0.202,0.161
1990-05-10,13.90,2.78,14.6,0.331,0.172
1990-05-11,0.10,3.49,16.0,0.311,0.174
1990-05-12,0.80,3.81,17.3,0.282,0.173
1990-05-13,0.00,4.85,18.7,0.253,0.171
1990-05-14,0.00,5.00,20.7,0.227,0.169
1990-05-15,0.00,4.99,20.9,0.208,0.167
1990-05-16,0.00,4.19,19.6,0.194,0.165
1990-05-17,0.00,3.55,19.0,0.183,0.164
1990-05-18,0.00,4.57,19.2,0.176,0.163
1990-05-19,0.00,3.45,18.3,0.168,0.162
1990-05-20,0.00,5.75,19.9,0.160,0.161
1990-05-21,0.00,6.16,19.6,0.150,0.160
1990-05-22,0.00,5.61,18.5,0.143,0.159
1990-05-23,0.00,5.84,18.2,0.138,0.158
1990-05-24,0.00,6.37,18.9,0.133,0.158
1990-05-25,0.00,6.31,20.8,0.130,0.157
1990-05-26,0.00,6.59,22.9,0.128,0.156
1990-05-27,0.00,6.19,21.4,0.126,0.155
1990-05-28,0.00,6.79,22.6,0.125,0.155
1990-05-29,0.00,6.60,25.5,0.124,0.154
1990-05-30,0.20,6.30,25.8,0.123,0.154
1990-05-31,0.00,6.38,25.0,0.125,0.154
1990-06-01,0.30,6.60,23.8,0.125,0.153
1990-06-02,0.00,3.78,20.1,0.128,0.154
1990-06-03,0.00,5.35,20.1,0.129,0.154
1990-06-04,3.30,3.19,17.5,0.156,0.155
1990-06-05,0.00,5.78,20.5,0.171,0.156
1990-06-06,0.00,6.44,21.6,0.158,0.155
1990-06-07,0.00,5.87,22.6,0.147,0.154
1990-06-08,1.20,5.84,23.9,0.139,0.153
1990-06-09,0.00,5.88,24.4,0.134,0.153
1990-06-10,0.00,5.69,23.0,0.130,0.152
1990-06-11,0.00,5.74,21.6,0.128,0.152
1990-06-12,0.00,5.75,21.1,0.126,0.152
1990-06-13,0.00,5.26,20.1,0.125,0.152
1990-06-14,0.00,5.62,22.1,0.125,0.152
1990-06-15,0.00,4.90,21.9,0.124,0.151
1990-06-16,0.00,5.82,22.1,0.124,0.151
1990-06-17,0.00,6.29,21.9,0.123,0.151
1990-06-18,0.00,6.21,22.5,0.123,0.151
1990-06-19,0.00,6.27,22.7,0.122,0.151
1990-06-20,0.00,6.12,22.4,0.122,0.151
1990-06-21,0.00,6.48,22.1,0.122,0.150
1990-06-22,0.00,6.30,21.7,0.122,0.150
1990-06-23,0.00,5.82,21.9,0.121,0.150
1990-06-24,0.00,5.81,22.1,0.121,0.150
1990-06-25,0.00,6.06,23.8,0.122,0.150
1990-06-26,0.00,6.66,26.3,0.121,0.150
1990-06-27,0.00,7.01,26.2,0.121,0.150
1990-06-28,0.00,6.36,23.7,0.121,0.150
1990-06-29,0.00,6.06,24.4,0.121,0.150
1990-06-30,0.00,5.94,25.6,0.121,0.150
1990-07-01,0.00,6.13,25.3,0.121,0.150
1990-07-02,0.00,6.84,25.7,0.121,0.150
1990-07-03,0.00,7.17,26.8,0.121,0.150
1990-07-04,0.00,6.69,27.9,0.120,0.150
1990-07-05,0.00,7.06,29.1,0.120,0.150
1990-07-06,0.00,7.46,28.2,0.120,0.149
1990-07-07,0.00,7.14,27.3,0.120,0.149
1990-07-08,0.00,6.59,27.5,0.120,0.149
1990-07-09,0.00,6.52,27.1,0.120,0.149
1990-07-10,0.00,6.29,27.5,0.120,0.149
1990-07-11,0.00,6.46,27.3,0.120,0.149
1990-07-12,0.00,6.69,27.0,0.120,0.149
1990-07-13,0.00,6.71,26.1,0.120,0.149
1990-07-14,0.00,6.66,25.0,0.120,0.149
1990-07-15,0.00,7.36,24.6,0.120,0.149
1990-07-16,0.00,6.70,25.0,0.120,0.149
1990-07-17,0.00,6.95,26.6,0.120,0.149
1990-07-18,0.00,6.06,27.3,0.120,0.149
1990-07-19,0.00,5.38,26.8,0.120,0.149
1990-07-20,0.90,5.66,27.8,0.120,0.149
1990-07-21,0.00,4.74,27.7,0.121,0.149
1990-07-22,0.30,5.00,27.5,0.121,0.149
1990-07-23,0.00,5.71,28.0,0.122,0.149
1990-07-24,0.60,5.75,28.2,0.122,0.149
1990-07-25,1.90,5.46,26.8,0.128,0.149
1990-07-26,0.00,5.57,27.2,0.134,0.150
1990-07-27,0.00,6.49,27.6,0.128,0.149
1990-07-28,0.00,6.50,25.2,0.125,0.149
1990-07-29,0.00,6.60,26.8,0.124,0.149
1990-07-30,0.00,6.10,26.9,0.123,0.149
1990-07-31,0.00,6.02,27.6,0.123,0.149
1990-08-01,1.00,6.01,29.6,0.122,0.149
1990-08-02,0.00,6.29,30.1,0.122,0.149
1990-08-03,0.00,6.81,31.8,0.121,0.148
1990-08-04,0.10,6.53,31.0,0.121,0.148
1990-08-05,0.00,8.73,30.7,0.122,0.148
1990-08-06,0.00,8.05,29.0,0.121,0.148
1990-08-07,0.00,7.76,29.5,0.121,0.148
1990-08-08,0.00,7.03,28.2,0.120,0.148
1990-08-09,0.00,6.41,27.2,0.120,0.148
1990-08-10,0.00,5.82,27.4,0.120,0.148
1990-08-11,0.80,5.55,28.7,0.121,0.148
1990-08-12,2.10,5.26,29.3,0.120,0.148
1990-08-13,0.80,5.93,28.4,0.120,0.148
1990-08-14,0.00,5.74,27.9,0.120,0.148
1990-08-15,0.00,6.80,28.1,0.121,0.148
1990-08-16,0.00,7.06,27.5,0.120,0.148
1990-08-17,0.00,6.84,27.9,0.120,0.148
1990-08-18,0.00,6.20,28.3,0.120,0.148
1990-08-19,0.00,5.36,25.9,0.120,0.148
1990-08-20,0.00,5.68,25.7,0.120,0.148
1990-08-21,0.00,5.75,25.1,0.120,0.148
1990-08-22,0.00,5.84,25.2,0.120,0.148
1990-08-23,0.00,5.36,25.9,0.120,0.148
1990-08-24,1.20,5.68,28.5,0.120,0.148
1990-08-25,0.00,6.33,29.6,0.120,0.148
1990-08-26,0.00,5.86,29.6,0.121,0.148
1990-08-27,0.00,6.52,29.7,0.120,0.148
1990-08-28,0.20,6.92,29.0,0.120,0.148
1990-08-29,0.00,6.73,26.2,0.120,0.148
1990-08-30,0.00,6.23,24.5,0.120,0.148
1990-08-31,0.00,5.36,23.7,0.120,0.148
1990-09-01,0.00,5.19,23.1,0.120,0.148
1990-09-02,0.00,5.16,23.4,0.120,0.148
1990-09-03,0.00,3.94,23.4,0.121,0.148
1990-09-04,0.00,4.31,23.4,0.121,0.148
1990-09-05,0.00,4.00,23.9,0.122,0.148
1990-09-06,0.70,4.80,24.2,0.122,0.148
1990-09-07,0.10,4.46,22.5,0.127,0.148
1990-09-08,0.10,4.36,21.6,0.135,0.149
1990-09-09,0.00,4.89,22.2,0.133,0.149
1990-09-10,0.40,4.75,24.0,0.130,0.148
1990-09-11,0.90,5.02,25.7,0.128,0.148
1990-09-12,0.20,4.76,25.5,0.127,0.148
1990-09-13,0.50,4.24,24.8,0.126,0.148
1990-09-14,0.20,4.52,25.3,0.125,0.148
1990-09-15,0.60,4.54,25.5,0.124,0.148
1990-09-16,1.30,4.65,24.9,0.126,0.148
1990-09-17,2.30,4.00,22.6,0.128,0.148
1990-09-18,0.50,3.73,22.5,0.129,0.148
1990-09-19,0.00,3.28,22.1,0.132,0.148
1990-09-20,0.10,4.29,22.8,0.131,0.148
1990-09-21,0.40,4.54,24.0,0.129,0.148
1990-09-22,0.00,3.99,23.9,0.127,0.148
1990-09-23,0.40,3.06,22.9,0.126,0.148
1990-09-24,0.00,2.71,22.3,0.125,0.148
1990-09-25,0.20,4.05,21.4,0.126,0.148
1990-09-26,0.10,4.11,22.2,0.125,0.148
1990-09-27,0.00,3.90,25.0,0.124,0.148
1990-09-28,0.00,5.00,25.5,0.123,0.148
1990-09-29,0.60,4.79,25.4,0.123,0.148
1990-09-30,0.80,4.31,24.7,0.123,0.148
1990-10-01,0.00,4.34,23.3,0.123,0.148
1990-10-02,0.00,4.26,22.9,0.125,0.148
