latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.896309,-6.9230957,1112.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³),et0_fao_evapotranspiration (mm)
1990-01-01,6.7,0.00,0.206,0.299,1.89
1990-01-02,7.0,0.00,0.205,0.284,1.72
1990-01-03,7.0,1.10,0.205,0.280,1.56
1990-01-04,5.3,0.00,0.204,0.275,2.09
1990-01-05,5.5,0.00,0.203,0.261,1.80
1990-01-06,6.9,0.00,0.202,0.252,1.45
1990-01-07,7.3,0.00,0.201,0.245,1.34
1990-01-08,6.0,0.00,0.201,0.241,1.13
1990-01-09,6.3,0.00,0.201,0.240,1.17
1990-01-10,6.5,0.00,0.200,0.235,1.41
1990-01-11,6.0,0.00,0.199,0.227,1.84
1990-01-12,4.8,0.00,0.198,0.219,1.89
1990-01-13,5.5,0.60,0.198,0.219,1.40
1990-01-14,4.4,0.00,0.197,0.219,1.73
1990-01-15,4.3,0.00,0.196,0.212,1.73
1990-01-16,5.3,1.40,0.197,0.223,1.34
1990-01-17,5.2,0.10,0.197,0.230,1.19
1990-01-18,5.5,0.00,0.196,0.224,1.74
1990-01-19,4.5,1.20,0.196,0.218,1.69
1990-01-20,4.4,2.10,0.197,0.234,1.60
1990-01-21,4.9,0.20,0.196,0.230,2.12
1990-01-22,4.6,0.00,0.195,0.218,2.42
1990-01-23,5.0,0.00,0.194,0.205,2.59
1990-01-24,5.9,0.00,0.193,0.194,2.43
1990-01-25,8.7,0.00,0.192,0.184,2.52
1990-01-26,8.9,0.00,0.191,0.174,2.58
1990-01-27,8.0,0.00,0.189,0.165,2.23
1990-01-28,7.0,0.00,0.189,0.158,1.72
1990-01-29,6.0,0.00,0.188,0.152,1.90
1990-01-30,8.4,0.00,0.187,0.148,1.12
1990-01-31,8.7,0.00,0.186,0.145,2.65
1990-02-01,9.3,0.00,0.185,0.135,2.72
1990-02-02,11.7,0.00,0.184,0.127,2.75
1990-02-03,11.9,0.00,0.183,0.120,2.66
1990-02-04,11.7,0.00,0.182,0.113,2.56
1990-02-05,10.6,0.00,0.181,0.107,2.93
1990-02-06,12.8,0.00,0.181,0.100,2.91
1990-02-07,13.1,0.00,0.180,0.095,2.99
1990-02-08,13.0,0.00,0.179,0.089,3.24
1990-02-09,14.4,0.00,0.178,0.083,3.24
1990-02-10,14.7,0.00,0.177,0.079,3.39
1990-02-11,14.5,0.00,0.177,0.075,3.85
1990-02-12,14.1,0.00,0.176,0.071,3.62
1990-02-13,14.7,0.00,0.175,0.068,3.56
1990-02-14,15.5,0.00,0.175,0.067,3.87
1990-02-15,15.1,0.00,0.174,0.065,3.59
1990-02-16,14.6,0.00,0.174,0.064,4.28
1990-02-17,13.7,0.00,0.174,0.063,4.40
1990-02-18,14.4,0.00,0.173,0.063,4.04
1990-02-19,14.6,0.00,0.172,0.062,3.58
1990-02-20,13.9,0.00,0.172,0.062,3.35
1990-02-21,12.3,0.00,0.172,0.062,4.18
1990-02-22,12.3,0.00,0.171,0.062,3.99
1990-02-23,12.3,0.00,0.171,0.062,3.96
1990-02-24,12.0,0.00,0.171,0.061,3.95
1990-02-25,12.5,0.00,0.171,0.061,3.25
1990-02-26,12.9,0.00,0.170,0.061,4.01
1990-02-27,13.0,0.00,0.170,0.061,4.09
1990-02-28,13.9,0.00,0.170,0.061,4.17
1990-03-01,14.4,0.00,0.170,0.060,4.24
1990-03-02,12.8,0.00,0.169,0.060,3.03
1990-03-03,12.8,0.00,0.169,0.061,4.51
1990-03-04,12.8,0.00,0.168,0.061,4.79
1990-03-05,11.7,0.30,0.168,0.062,4.32
1990-03-06,13.1,0.00,0.168,0.066,4.23
1990-03-07,14.2,0.20,0.168,0.067,3.96
1990-03-08,12.0,9.60,0.172,0.127,1.53
