latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.989452,-6.8539124,57.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-01-01,13.4,1.30,1.34,0.351,0.377
1990-01-02,14.6,0.00,1.78,0.350,0.371
1990-01-03,12.6,24.00,1.11,0.362,0.418
1990-01-04,12.5,2.00,1.37,0.371,0.413
1990-01-05,12.0,0.00,1.63,0.369,0.389
1990-01-06,11.6,0.00,1.69,0.367,0.376
1990-01-07,11.8,0.00,1.55,0.365,0.368
1990-01-08,11.7,0.00,1.57,0.363,0.361
1990-01-09,11.7,0.00,1.73,0.361,0.354
1990-01-10,11.1,0.00,1.69,0.358,0.347
1990-01-11,11.1,0.00,1.28,0.357,0.346
1990-01-12,10.4,0.00,1.64,0.355,0.343
1990-01-13,10.4,0.00,1.60,0.353,0.337
1990-01-14,10.5,0.40,1.50,0.351,0.335
1990-01-15,10.9,0.00,1.59,0.350,0.333
1990-01-16,11.7,0.00,1.81,0.348,0.327
1990-01-17,11.4,2.90,1.73,0.346,0.326
1990-01-18,11.2,2.00,1.18,0.348,0.365
1990-01-19,11.5,0.00,1.52,0.347,0.354
1990-01-20,11.2,0.00,2.00,0.346,0.340
1990-01-21,11.2,0.00,2.21,0.343,0.327
1990-01-22,11.2,0.00,2.15,0.341,0.317
1990-01-23,10.6,0.00,1.90,0.339,0.311
1990-01-24,10.7,0.00,1.84,0.337,0.307
1990-01-25,12.7,0.00,1.75,0.335,0.302
1990-01-26,12.3,0.00,1.85,0.333,0.298
1990-01-27,12.9,0.00,1.93,0.331,0.293
1990-01-28,11.5,16.40,1.00,0.336,0.358
1990-01-29,11.0,0.20,1.77,0.344,0.378
1990-01-30,12.1,0.00,1.91,0.342,0.355
1990-01-31,13.3,2.50,2.02,0.340,0.345
1990-02-01,13.5,1.40,1.59,0.342,0.367
1990-02-02,12.7,0.00,2.09,0.340,0.350
1990-02-03,12.9,0.00,2.05,0.338,0.337
1990-02-04,13.7,0.00,1.94,0.336,0.329
1990-02-05,14.1,0.00,1.87,0.334,0.323
1990-02-06,15.5,0.00,2.26,0.332,0.317
1990-02-07,15.3,0.00,2.35,0.330,0.310
1990-02-08,14.1,0.00,2.16,0.328,0.304
1990-02-09,14.4,0.00,2.22,0.327,0.297
1990-02-10,14.0,0.00,1.99,0.325,0.293
1990-02-11,14.3,0.00,2.17,0.323,0.287
1990-02-12,12.9,0.00,2.25,0.321,0.280
1990-02-13,12.3,0.00,2.20,0.319,0.273
1990-02-14,12.9,0.00,2.47,0.316,0.267
1990-02-15,12.9,0.00,2.22,0.314,0.261
1990-02-16,12.4,0.00,2.34,0.312,0.256
1990-02-17,12.0,0.00,2.34,0.310,0.251
1990-02-18,12.7,0.00,2.47,0.308,0.245
1990-02-19,14.4,0.00,2.57,0.307,0.239
1990-02-20,15.0,0.00,2.65,0.305,0.234
1990-02-21,15.6,0.00,2.65,0.303,0.228
1990-02-22,17.3,0.00,3.47,0.300,0.219
1990-02-23,16.5,0.00,3.31,0.298,0.210
1990-02-24,14.9,0.00,3.06,0.296,0.203
1990-02-25,14.2,0.00,2.53,0.293,0.197
1990-02-26,14.1,0.00,2.65,0.292,0.193
1990-02-27,13.6,0.00,2.76,0.290,0.188
1990-02-28,14.3,0.00,2.49,0.288,0.184
1990-03-01,14.1,0.00,2.29,0.286,0.181
1990-03-02,14.3,0.00,2.29,0.285,0.178
1990-03-03,14.3,4.70,2.46,0.283,0.180
1990-03-04,14.1,1.70,2.04,0.285,0.215
1990-03-05,14.3,1.30,1.62,0.285,0.235
1990-03-06,15.5,0.20,2.96,0.285,0.242
1990-03-07,15.6,0.40,2.42,0.283,0.229
1990-03-08,14.5,21.40,0.66,0.293,0.346
1990-03-09,15.0,3.60,1.10,0.302,0.369
1990-03-10,16.4,0.60,2.57,0.303,0.351
1990-03-11,16.2,0.00,2.96,0.302,0.327
