latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.56766,-7.5836487,23.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-01-01,14.2,0.50,1.39,0.293,0.362
1990-01-02,14.9,0.00,1.87,0.292,0.353
1990-01-03,13.3,18.10,1.35,0.302,0.392
1990-01-04,12.5,1.80,1.45,0.306,0.383
1990-01-05,12.2,0.00,1.74,0.305,0.371
1990-01-06,12.2,0.00,1.74,0.304,0.360
1990-01-07,12.4,0.00,1.61,0.303,0.352
1990-01-08,12.6,0.00,1.65,0.301,0.345
1990-01-09,11.6,0.00,1.64,0.300,0.338
1990-01-10,12.0,0.00,1.70,0.299,0.333
1990-01-11,11.1,0.00,1.42,0.298,0.330
1990-01-12,10.5,0.00,1.56,0.297,0.326
1990-01-13,10.5,0.00,1.63,0.296,0.321
1990-01-14,11.1,0.60,1.56,0.295,0.319
1990-01-15,11.4,0.00,1.67,0.295,0.317
1990-01-16,11.5,0.00,1.82,0.293,0.312
1990-01-17,11.9,0.80,1.83,0.292,0.308
1990-01-18,11.9,1.50,1.18,0.292,0.318
1990-01-19,11.8,0.00,1.54,0.292,0.318
1990-01-20,11.9,0.00,2.10,0.291,0.310
1990-01-21,11.5,0.00,2.13,0.289,0.302
1990-01-22,11.6,0.00,2.17,0.288,0.294
1990-01-23,10.9,0.00,1.97,0.286,0.288
1990-01-24,11.6,0.00,1.97,0.285,0.284
1990-01-25,13.0,0.00,2.00,0.284,0.279
1990-01-26,12.9,0.00,1.95,0.283,0.276
1990-01-27,13.1,0.00,1.98,0.281,0.272
1990-01-28,11.9,14.90,0.95,0.287,0.345
1990-01-29,11.2,0.00,1.97,0.293,0.359
1990-01-30,12.2,0.00,2.00,0.292,0.334
1990-01-31,13.5,1.40,1.89,0.290,0.324
1990-02-01,14.1,0.30,1.49,0.290,0.330
1990-02-02,13.1,0.00,2.08,0.289,0.320
1990-02-03,13.1,0.00,2.17,0.288,0.311
1990-02-04,14.4,0.00,1.96,0.287,0.304
1990-02-05,14.7,0.00,2.17,0.286,0.298
1990-02-06,15.6,0.00,2.42,0.284,0.292
1990-02-07,15.7,0.00,2.48,0.283,0.286
1990-02-08,14.7,0.00,2.28,0.281,0.280
1990-02-09,14.8,0.00,2.26,0.280,0.275
1990-02-10,14.2,0.00,2.01,0.279,0.273
1990-02-11,15.1,0.00,2.37,0.278,0.269
1990-02-12,14.0,0.00,2.49,0.276,0.263
1990-02-13,13.3,0.00,2.41,0.274,0.258
1990-02-14,13.7,0.00,2.51,0.273,0.253
1990-02-15,14.0,0.00,2.43,0.272,0.249
1990-02-16,13.4,0.00,2.45,0.270,0.245
1990-02-17,12.2,0.00,2.40,0.269,0.241
1990-02-18,13.0,0.00,2.68,0.267,0.237
1990-02-19,14.9,0.00,2.68,0.266,0.233
1990-02-20,15.4,0.00,2.84,0.265,0.229
1990-02-21,15.3,0.00,2.64,0.263,0.225
1990-02-22,17.0,0.00,3.35,0.262,0.221
1990-02-23,17.3,0.00,3.23,0.260,0.215
1990-02-24,15.9,0.00,3.10,0.258,0.211
1990-02-25,14.7,0.00,2.57,0.257,0.207
1990-02-26,14.9,0.00,2.81,0.255,0.204
1990-02-27,14.4,0.00,2.87,0.254,0.200
1990-02-28,15.1,0.00,2.79,0.253,0.197
1990-03-01,14.7,0.00,2.40,0.251,0.195
1990-03-02,14.7,0.00,2.25,0.250,0.193
1990-03-03,14.4,0.00,2.37,0.249,0.190
1990-03-04,14.3,0.00,2.12,0.248,0.189
1990-03-05,14.7,1.80,1.70,0.247,0.191
1990-03-06,15.4,1.90,3.02,0.247,0.202
1990-03-07,16.1,0.10,2.49,0.247,0.202
1990-03-08,14.9,17.90,0.61,0.253,0.295
1990-03-09,15.5,3.30,1.05,0.261,0.345
1990-03-10,16.7,8.00,2.78,0.265,0.356
1990-03-11,16.3,0.30,2.96,0.264,0.324
1990-03-12,15.3,0.00,2.88,0.263,0.302
1990-03-13,15.4,0.00,3.22,0.261,0.285
1990-03-14,15.7,0.00,3.15,0.259,0.272
1990-03-15,16.0,0.00,3.43,0.257,0.261
1990-03-16,16.5,0.00,3.60,0.255,0.251
1990-03-17,16.8,0.00,3.45,0.253,0.242
1990-03-18,17.8,0.00,4.02,0.252,0.234
1990-03-19,18.4,0.00,3.91,0.249,0.225
1990-03-20,18.4,0.00,3.67,0.247,0.217
1990-03-21,19.0,0.00,4.04,0.245,0.210
1990-03-22,18.2,0.00,4.07,0.243,0.203
1990-03-23,17.2,0.00,3.40,0.241,0.197
1990-03-24,16.2,0.00,3.93,0.240,0.192
1990-03-25,16.7,0.00,3.98,0.238,0.186
1990-03-26,16.9,0.00,3.95,0.236,0.182
1990-03-27,17.1,0.00,3.97,0.235,0.178
1990-03-28,16.4,0.00,4.06,0.233,0.174
1990-03-29,15.7,0.00,3.79,0.232,0.170
1990-03-30,15.8,4.80,2.25,0.232,0.191
1990-03-31,17.8,19.70,3.06,0.242,0.319
1990-04-01,16.5,0.80,2.75,0.248,0.337
1990-04-02,15.2,0.00,3.76,0.247,0.304
1990-04-03,14.6,0.00,3.82,0.245,0.280
1990-04-04,14.5,0.00,3.79,0.243,0.263
1990-04-05,16.3,1.80,3.01,0.241,0.256
1990-04-06,15.1,3.60,2.90,0.243,0.282
1990-04-07,15.3,0.80,4.00,0.242,0.276
1990-04-08,14.1,4.40,2.48,0.242,0.285
1990-04-09,14.6,5.40,2.87,0.244,0.313
1990-04-10,14.3,2.10,2.90,0.245,0.309
1990-04-11,13.9,0.00,4.29,0.243,0.289
1990-04-12,15.2,0.00,4.35,0.241,0.268
1990-04-13,15.7,1.00,3.16,0.239,0.260
1990-04-14,14.7,1.70,3.02,0.239,0.265
1990-04-15,15.7,0.00,4.33,0.237,0.253
1990-04-16,15.8,0.00,4.10,0.235,0.240
1990-04-17,16.7,0.00,4.29,0.233,0.229
1990-04-18,17.7,0.00,4.59,0.231,0.218
1990-04-19,18.0,0.00,4.74,0.230,0.208
1990-04-20,16.3,0.00,4.35,0.228,0.199
1990-04-21,15.2,0.50,3.35,0.226,0.197
1990-04-22,14.7,0.00,4.32,0.225,0.194
1990-04-23,14.7,1.00,3.83,0.224,0.194
1990-04-24,15.1,0.00,4.16,0.223,0.194
1990-04-25,15.0,0.00,4.34,0.222,0.191
1990-04-26,16.1,0.60,4.23,0.221,0.185
1990-04-27,17.9,2.10,4.18,0.220,0.194
1990-04-28,16.5,1.70,3.86,0.220,0.202
1990-04-29,16.0,8.00,2.78,0.224,0.270
1990-04-30,16.4,0.80,3.63,0.225,0.278
1990-05-01,16.9,0.00,3.93,0.224,0.264
1990-05-02,17.9,0.00,4.53,0.222,0.246
1990-05-03,19.6,0.00,4.75,0.220,0.230
1990-05-04,19.6,0.20,4.91,0.218,0.215
1990-05-05,18.8,0.00,4.82,0.216,0.203
1990-05-06,18.3,0.00,3.63,0.215,0.193
1990-05-07,19.0,0.00,4.11,0.213,0.185
1990-05-08,17.8,13.10,2.32,0.217,0.247
1990-05-09,17.8,24.80,1.92,0.228,0.357
1990-05-10,18.1,9.70,2.22,0.232,0.349
1990-05-11,18.6,0.00,3.73,0.235,0.335
1990-05-12,17.9,0.20,3.10,0.233,0.306
1990-05-13,17.9,0.00,4.55,0.231,0.286
1990-05-14,18.6,0.00,4.54,0.229,0.266
1990-05-15,19.4,0.00,4.73,0.227,0.250
1990-05-16,18.7,0.00,3.58,0.225,0.236
1990-05-17,18.2,0.00,3.57,0.223,0.226
1990-05-18,18.6,0.00,4.39,0.221,0.216
1990-05-19,18.8,0.00,4.35,0.219,0.207
1990-05-20,18.6,0.00,5.08,0.217,0.198
1990-05-21,18.4,0.00,5.02,0.215,0.189
1990-05-22,18.6,0.00,4.66,0.214,0.182
1990-05-23,18.5,0.00,4.79,0.212,0.177
1990-05-24,18.3,0.00,5.19,0.210,0.171
1990-05-25,19.2,0.00,5.29,0.209,0.166
1990-05-26,20.0,0.00,5.37,0.207,0.162
1990-05-27,20.3,0.00,4.91,0.206,0.159
