latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.95079,-4.4457703,1033.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-01-01,6.5,0.00,1.75,0.207,0.316
1990-01-02,7.0,0.00,1.70,0.206,0.303
1990-01-03,7.2,1.70,1.02,0.206,0.300
1990-01-04,5.1,0.00,1.94,0.206,0.299
1990-01-05,3.6,0.00,1.76,0.204,0.285
1990-01-06,4.2,0.00,1.44,0.203,0.276
1990-01-07,5.1,0.00,1.21,0.203,0.270
1990-01-08,4.8,0.00,1.06,0.202,0.265
1990-01-09,5.8,0.00,1.00,0.202,0.263
1990-01-10,5.7,0.10,1.29,0.201,0.260
1990-01-11,5.0,0.10,1.32,0.201,0.259
1990-01-12,4.7,0.00,1.62,0.200,0.254
1990-01-13,5.1,0.00,1.60,0.200,0.246
1990-01-14,5.3,0.10,1.76,0.198,0.240
1990-01-15,4.9,0.30,1.52,0.197,0.234
1990-01-16,5.1,0.00,1.33,0.197,0.231
1990-01-17,5.5,0.00,1.33,0.197,0.230
1990-01-18,5.8,0.00,1.64,0.196,0.224
1990-01-19,4.5,1.80,1.46,0.195,0.222
1990-01-20,3.4,0.00,1.57,0.195,0.222
1990-01-21,3.6,0.00,1.97,0.195,0.214
1990-01-22,4.8,0.00,2.47,0.193,0.202
1990-01-23,5.1,0.00,2.48,0.192,0.190
1990-01-24,5.9,0.00,2.19,0.190,0.181
1990-01-25,8.0,0.00,2.25,0.189,0.174
1990-01-26,8.7,0.00,2.35,0.188,0.167
1990-01-27,9.3,0.00,2.38,0.187,0.159
1990-01-28,7.1,1.40,1.30,0.187,0.157
1990-01-29,5.0,0.00,1.98,0.187,0.164
1990-01-30,7.8,0.00,1.76,0.186,0.157
1990-01-31,8.8,0.00,2.21,0.185,0.150
1990-02-01,8.1,0.00,2.35,0.185,0.143
1990-02-02,10.0,0.00,2.47,0.184,0.136
1990-02-03,11.4,0.00,2.46,0.183,0.129
1990-02-04,9.1,0.00,2.31,0.182,0.122
1990-02-05,8.3,0.00,2.37,0.181,0.115
1990-02-06,10.6,0.00,2.58,0.180,0.109
1990-02-07,12.6,0.00,2.82,0.179,0.103
1990-02-08,13.4,0.00,3.31,0.178,0.095
1990-02-09,12.8,0.00,3.00,0.176,0.086
1990-02-10,15.0,0.00,3.29,0.175,0.081
1990-02-11,14.7,0.00,3.20,0.174,0.075
1990-02-12,14.8,0.00,3.37,0.174,0.070
1990-02-13,14.0,0.00,3.62,0.173,0.066
1990-02-14,15.0,0.00,3.93,0.172,0.062
1990-02-15,15.9,0.00,3.69,0.172,0.060
1990-02-16,15.6,0.00,3.81,0.171,0.059
1990-02-17,14.7,0.00,3.90,0.171,0.058
1990-02-18,13.2,0.00,3.76,0.170,0.057
1990-02-19,13.2,0.00,3.64,0.170,0.057
