latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.919155,-5.498749,526.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-01-01,10.2,0.20,1.44,0.452,0.476
1990-01-02,11.3,0.00,1.83,0.450,0.466
1990-01-03,8.9,26.40,0.61,0.459,0.478
1990-01-04,7.9,3.70,1.10,0.473,0.495
1990-01-05,7.9,0.00,1.55,0.472,0.482
1990-01-06,7.4,0.00,1.66,0.469,0.472
1990-01-07,7.6,0.00,1.46,0.467,0.466
1990-01-08,7.7,0.00,1.62,0.465,0.462
1990-01-09,8.6,0.00,1.75,0.463,0.457
1990-01-10,7.7,0.00,1.68,0.461,0.452
1990-01-11,6.5,1.90,1.25,0.459,0.456
1990-01-12,6.3,0.00,1.59,0.459,0.464
1990-01-13,6.8,0.00,1.53,0.457,0.456
1990-01-14,6.7,0.00,1.46,0.456,0.451
1990-01-15,7.4,0.10,1.43,0.454,0.448
1990-01-16,7.8,0.00,1.79,0.453,0.445
1990-01-17,8.1,0.70,1.73,0.451,0.441
1990-01-18,7.5,2.20,1.25,0.450,0.448
1990-01-19,7.5,0.00,1.45,0.450,0.453
1990-01-20,6.5,0.00,1.86,0.448,0.445
1990-01-21,7.0,0.00,1.98,0.446,0.438
1990-01-22,7.3,0.00,2.00,0.444,0.431
1990-01-23,6.1,0.00,1.94,0.442,0.426
1990-01-24,6.5,0.00,1.88,0.440,0.421
1990-01-25,9.2,0.00,1.63,0.439,0.418
1990-01-26,9.4,0.00,1.96,0.437,0.415
1990-01-27,10.4,0.00,1.98,0.436,0.411
1990-01-28,7.5,13.40,0.43,0.440,0.463
1990-01-29,7.5,0.40,1.72,0.445,0.472
1990-01-30,7.8,0.00,1.65,0.443,0.456
1990-01-31,10.6,1.40,2.15,0.442,0.448
1990-02-01,10.7,4.70,1.20,0.444,0.481
1990-02-02,10.4,0.00,2.17,0.444,0.467
1990-02-03,11.2,0.00,2.28,0.442,0.455
1990-02-04,12.7,0.00,2.35,0.441,0.447
1990-02-05,13.2,0.00,2.31,0.438,0.440
1990-02-06,13.7,0.00,2.23,0.436,0.433
1990-02-07,13.6,0.00,2.48,0.434,0.426
1990-02-08,12.7,0.00,2.55,0.432,0.420
1990-02-09,13.3,0.00,2.71,0.430,0.414
1990-02-10,13.1,0.00,2.58,0.428,0.408
1990-02-11,12.7,0.00,2.09,0.426,0.406
1990-02-12,10.8,0.00,2.27,0.424,0.403
1990-02-13,8.7,0.00,2.08,0.423,0.399
1990-02-14,10.8,0.00,2.72,0.421,0.394
1990-02-15,11.9,0.00,2.77,0.419,0.389
1990-02-16,12.5,0.00,2.60,0.417,0.384
1990-02-17,12.2,0.00,2.64,0.415,0.379
1990-02-18,13.1,0.00,2.79,0.413,0.375
1990-02-19,14.1,0.00,2.90,0.411,0.369
1990-02-20,14.8,0.00,3.01,0.409,0.363
1990-02-21,14.3,0.00,3.29,0.407,0.358
