latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.69244,-1.9342651,552.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-01-01,10.3,0.00,1.42,0.179,0.278
1990-01-02,10.9,0.00,1.44,0.179,0.260
1990-01-03,8.8,8.00,0.85,0.181,0.286
1990-01-04,6.8,3.60,0.85,0.188,0.341
1990-01-05,7.6,4.90,0.54,0.193,0.346
1990-01-06,6.1,0.00,1.51,0.194,0.316
1990-01-07,6.7,0.00,1.60,0.193,0.292
1990-01-08,6.6,0.00,1.34,0.192,0.277
1990-01-09,7.8,0.90,1.26,0.192,0.274
1990-01-10,5.2,5.00,1.24,0.194,0.296
1990-01-11,5.2,1.00,1.44,0.197,0.319
1990-01-12,5.5,0.00,0.75,0.197,0.302
1990-01-13,6.7,0.00,0.94,0.197,0.292
1990-01-14,7.1,10.60,0.58,0.205,0.361
1990-01-15,7.5,1.40,1.06,0.208,0.349
1990-01-16,6.5,0.00,1.66,0.209,0.330
1990-01-17,6.9,0.00,1.67,0.207,0.309
1990-01-18,6.0,3.00,1.16,0.208,0.309
1990-01-19,6.4,0.00,1.41,0.209,0.313
1990-01-20,5.9,0.20,1.40,0.208,0.301
1990-01-21,5.4,1.80,0.83,0.208,0.300
1990-01-22,6.6,0.10,1.32,0.209,0.305
1990-01-23,5.7,0.00,1.81,0.208,0.291
1990-01-24,6.7,0.00,2.01,0.207,0.277
1990-01-25,8.5,0.00,1.69,0.206,0.266
1990-01-26,9.3,0.00,2.04,0.205,0.256
1990-01-27,10.8,0.00,2.79,0.204,0.245
1990-01-28,10.7,3.60,1.80,0.202,0.239
1990-01-29,7.1,0.00,1.81,0.204,0.261
1990-01-30,9.0,0.00,1.69,0.203,0.250
1990-01-31,10.7,0.20,2.18,0.202,0.241
1990-02-01,10.0,1.20,0.94,0.202,0.248
1990-02-02,8.8,0.00,2.17,0.202,0.245
1990-02-03,10.7,0.00,2.42,0.201,0.233
1990-02-04,11.3,0.00,2.45,0.200,0.222
1990-02-05,12.1,0.00,3.12,0.198,0.208
1990-02-06,12.5,0.00,2.60,0.197,0.195
1990-02-07,12.9,0.00,2.58,0.195,0.187
1990-02-08,12.2,0.00,2.58,0.194,0.179
1990-02-09,11.2,0.00,2.58,0.193,0.172
1990-02-10,12.3,0.00,2.79,0.192,0.165
1990-02-11,11.5,0.00,2.58,0.191,0.159
1990-02-12,11.9,0.00,3.50,0.190,0.153
1990-02-13,10.6,0.00,2.87,0.189,0.146
1990-02-14,11.8,0.00,2.99,0.188,0.141
1990-02-15,12.9,0.00,3.22,0.187,0.135
1990-02-16,13.1,0.00,3.16,0.186,0.129
1990-02-17,13.0,0.00,3.20,0.185,0.124
1990-02-18,13.6,0.00,3.44,0.185,0.120
1990-02-19,13.5,0.00,3.13,0.184,0.118
1990-02-20,13.8,0.00,3.16,0.183,0.115
1990-02-21,13.0,0.00,3.13,0.182,0.113
1990-02-22,12.4,0.00,3.20,0.181,0.112
1990-02-23,12.9,0.00,3.36,0.181,0.110
1990-02-24,13.6,0.00,3.25,0.180,0.109
1990-02-25,13.5,0.00,3.61,0.180,0.107
1990-02-26,13.1,0.00,3.31,0.179,0.106
1990-02-27,13.9,0.00,3.50,0.179,0.105
1990-02-28,15.1,0.00,3.51,0.179,0.104
1990-03-01,15.6,0.00,3.88,0.178,0.103
1990-03-02,12.7,0.00,2.26,0.178,0.103
1990-03-03,11.2,9.00,1.23,0.183,0.177
1990-03-04,12.4,0.00,3.20,0.185,0.216
1990-03-05,13.1,0.10,3.33,0.184,0.197
1990-03-06,13.2,0.00,3.40,0.183,0.181
1990-03-07,15.5,0.00,3.79,0.181,0.165
1990-03-08,16.0,0.00,2.59,0.180,0.150
1990-03-09,13.1,0.40,1.20,0.180,0.149
1990-03-10,16.8,0.40,3.48,0.180,0.148
1990-03-11,18.2,0.50,4.58,0.179,0.144
1990-03-12,13.9,1.10,2.68,0.179,0.146
1990-03-13,13.5,0.00,3.23,0.180,0.158
1990-03-14,13.6,0.00,3.42,0.179,0.148
1990-03-15,13.2,0.00,3.22,0.178,0.138
1990-03-16,13.1,0.00,3.95,0.177,0.130
1990-03-17,13.6,0.00,4.09,0.176,0.123
1990-03-18,14.2,0.00,3.82,0.176,0.117
1990-03-19,14.7,0.00,3.85,0.175,0.114
1990-03-20,13.9,0.10,3.48,0.175,0.113
1990-03-21,14.6,0.00,4.21,0.175,0.110
1990-03-22,16.4,0.00,4.61,0.174,0.106
1990-03-23,17.9,0.00,4.70,0.173,0.104
1990-03-24,14.2,0.10,2.81,0.173,0.106
1990-03-25,11.4,0.60,2.41,0.173,0.116
1990-03-26,11.9,0.00,3.55,0.173,0.117
1990-03-27,11.3,0.00,3.97,0.173,0.112
1990-03-28,11.6,0.00,4.26,0.172,0.108
1990-03-29,11.5,2.60,3.84,0.172,0.111
1990-03-30,11.0,9.40,2.12,0.176,0.164
1990-03-31,15.0,3.80,3.71,0.181,0.230
1990-04-01,13.2,2.10,1.91,0.183,0.248
1990-04-02,12.4,0.00,3.21,0.183,0.246
1990-04-03,11.5,0.00,3.78,0.181,0.221
1990-04-04,13.0,0.00,3.89,0.179,0.199
1990-04-05,15.5,1.20,4.13,0.178,0.180
1990-04-06,13.3,14.20,2.58,0.188,0.300
1990-04-07,12.5,1.50,2.91,0.190,0.298
1990-04-08,11.5,5.40,1.68,0.190,0.283
1990-04-09,11.3,2.20,3.29,0.193,0.314
1990-04-10,9.0,9.60,2.04,0.197,0.336
1990-04-11,8.4,1.30,3.27,0.203,0.341
1990-04-12,11.1,0.00,4.44,0.200,0.293
1990-04-13,13.0,0.40,4.41,0.198,0.259
1990-04-14,12.3,11.00,2.36,0.201,0.300
1990-04-15,13.1,0.00,4.39,0.204,0.313
1990-04-16,14.5,0.00,4.43,0.201,0.275
1990-04-17,14.1,0.00,4.09,0.199,0.247
1990-04-18,13.6,1.10,3.68,0.197,0.232
1990-04-19,13.3,0.00,4.18,0.196,0.218
1990-04-20,14.8,0.00,4.71,0.194,0.197
1990-04-21,12.8,0.00,4.25,0.192,0.179
1990-04-22,11.6,0.00,3.96,0.190,0.166
1990-04-23,10.2,1.10,2.18,0.191,0.180
1990-04-24,10.9,0.70,3.31,0.191,0.184
1990-04-25,12.2,0.20,3.93,0.190,0.176
1990-04-26,14.6,0.00,4.94,0.188,0.164
1990-04-27,17.3,5.90,4.33,0.188,0.170
1990-04-28,17.6,6.90,3.82,0.192,0.229
1990-04-29,16.0,5.50,3.78,0.196,0.279
1990-04-30,13.7,12.20,1.79,0.202,0.337
1990-05-01,13.8,14.00,2.23,0.215,0.390
1990-05-02,14.2,1.80,3.00,0.218,0.358
1990-05-03,14.6,8.70,2.80,0.222,0.375
1990-05-04,15.5,0.30,2.32,0.226,0.366
1990-05-05,15.8,0.60,3.08,0.225,0.342
1990-05-06,14.8,0.00,2.16,0.224,0.325
1990-05-07,15.2,0.10,3.47,0.223,0.308
1990-05-08,15.9,0.60,3.27,0.222,0.303
1990-05-09,18.0,7.00,3.71,0.226,0.352
1990-05-10,17.9,1.00,4.73,0.226,0.331
1990-05-11,14.4,20.10,1.47,0.232,0.376
1990-05-12,16.5,0.10,4.14,0.240,0.372
1990-05-13,17.3,0.00,4.69,0.238,0.336
1990-05-14,19.1,0.00,4.97,0.235,0.308
1990-05-15,18.6,0.00,4.36,0.232,0.286
1990-05-16,20.4,0.00,5.31,0.229,0.265
1990-05-17,17.3,0.00,4.82,0.226,0.245
1990-05-18,16.9,0.00,4.97,0.223,0.227
1990-05-19,17.5,0.00,4.82,0.221,0.210
1990-05-20,17.4,0.00,5.10,0.218,0.196
1990-05-21,17.7,0.00,5.22,0.216,0.182
1990-05-22,16.9,1.50,4.83,0.214,0.182
1990-05-23,16.1,0.50,4.97,0.213,0.180
1990-05-24,15.9,0.00,5.25,0.211,0.166
1990-05-25,17.8,0.00,5.78,0.209,0.152
1990-05-26,19.8,0.00,5.70,0.206,0.140
1990-05-27,20.0,0.00,4.93,0.205,0.132
1990-05-28,17.5,1.00,4.43,0.204,0.134
1990-05-29,17.4,0.00,5.61,0.203,0.135
1990-05-30,20.8,0.00,6.37,0.201,0.125
1990-05-31,20.2,0.00,5.04,0.200,0.118
1990-06-01,21.9,0.00,5.76,0.199,0.115
1990-06-02,20.9,0.00,5.68,0.198,0.112
1990-06-03,19.7,0.00,5.47,0.197,0.111
1990-06-04,18.8,2.70,4.83,0.196,0.116
1990-06-05,19.4,0.00,5.07,0.197,0.141
1990-06-06,19.0,0.00,5.62,0.196,0.129
1990-06-07,20.8,0.00,6.18,0.194,0.119
1990-06-08,24.5,0.00,6.54,0.193,0.110
1990-06-09,25.8,0.00,6.71,0.192,0.106
1990-06-10,23.0,0.00,5.86,0.191,0.104
1990-06-11,20.1,0.00,4.65,0.190,0.104
1990-06-12,20.0,0.00,5.22,0.190,0.102
1990-06-13,19.8,0.00,5.02,0.190,0.101
1990-06-14,20.3,0.10,4.75,0.189,0.102
1990-06-15,22.9,0.00,5.41,0.188,0.100
1990-06-16,21.3,0.00,5.19,0.188,0.099
1990-06-17,20.9,0.00,5.75,0.187,0.098
1990-06-18,21.4,0.00,5.99,0.186,0.097
1990-06-19,22.2,0.00,4.45,0.186,0.096
1990-06-20,21.7,0.00,5.93,0.185,0.096
1990-06-21,21.3,0.00,5.91,0.185,0.095
1990-06-22,21.4,0.00,6.15,0.184,0.094
1990-06-23,21.8,0.00,6.04,0.184,0.093
1990-06-24,22.8,0.00,5.88,0.183,0.093
1990-06-25,24.0,0.00,5.54,0.183,0.093
1990-06-26,24.4,0.00,6.15,0.182,0.093
1990-06-27,24.7,0.00,6.32,0.182,0.092
1990-06-28,24.3,0.00,6.37,0.181,0.091
1990-06-29,23.9,0.00,5.97,0.181,0.091
1990-06-30,26.1,0.00,6.22,0.181,0.090
1990-07-01,26.1,0.00,6.64,0.180,0.090
1990-07-02,26.1,0.00,6.41,0.179,0.090
1990-07-03,26.3,0.00,6.65,0.179,0.090
1990-07-04,25.6,0.00,6.50,0.179,0.089
1990-07-05,26.0,0.00,6.41,0.178,0.089
